Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-9998~Cell wall biogenesis/degradation	19	0.49777312025150644	0.0016164843155029136	61602076, 61603262, 61603642, 61601484, 61603643, 61603126, 61603640, 61603068, 61603635, 61602359, 61601876, 61602874, 61603645, 61603639, 61601506, 61602604, 61603638, 61601808, 61604150	840	19	1339	1.594047619047619	0.1883574121265178	0.07972790748264998	0.07849181589377167
UP_KW_BIOLOGICAL_PROCESS	KW-0961~Cell wall biogenesis/degradation	19	0.49777312025150644	0.0016164843155029136	61602076, 61603262, 61603642, 61601484, 61603643, 61603126, 61603640, 61603068, 61603635, 61602359, 61601876, 61602874, 61603645, 61603639, 61601506, 61602604, 61603638, 61601808, 61604150	840	19	1339	1.594047619047619	0.1883574121265178	0.07972790748264998	0.07849181589377167
UP_KW_BIOLOGICAL_PROCESS	KW-0028~Amino-acid biosynthesis	61	1.5981137018600995	0.002437438251954633	61603130, 61603576, 61602367, 61604665, 61603533, 61602521, 61604620, 61601990, 61602882, 61601991, 61601478, 61604668, 61601995, 61601910, 61601903, 61602160, 61603096, 61604698, 61604774, 61602078, 61601502, 61604139, 61604619, 61601504, 61601704, 61601503, 61603846, 61603803, 61599090, 61604288, 61604087, 61603038, 61604125, 61602782, 61602386, 61601530, 61604769, 61601733, 61602666, 61604727, 61603912, 61604284, 61604112, 61604110, 61602575, 61601562, 61602256, 61602378, 61603786, 61602257, 61601641, 61604636, 61602699, 61601526, 61601525, 61601528, 61604638, 61601527, 61601916, 61604270, 61604193	840	77	1339	1.2628169449598021	0.27007490494380604	0.07972790748264998	0.07849181589377167
UP_KW_BIOLOGICAL_PROCESS	KW-0133~Cell shape	18	0.47157453497511137	0.0024721831777565883	61602076, 61603262, 61603642, 61603643, 61603126, 61603640, 61603068, 61603641, 61603635, 61602359, 61601876, 61602874, 61603645, 61603639, 61601506, 61603638, 61601808, 61604150	840	18	1339	1.5940476190476192	0.2733471928782729	0.07972790748264998	0.07849181589377167
UP_KW_BIOLOGICAL_PROCESS	KW-0573~Peptidoglycan synthesis	17	0.4453759496987163	0.003769363503780125	61602076, 61603262, 61603642, 61603643, 61603126, 61603640, 61603068, 61603635, 61602359, 61601876, 61602874, 61603645, 61603639, 61601506, 61603638, 61601808, 61604150	840	17	1339	1.5940476190476192	0.38563534343967365	0.09724957839752722	0.09574183299601516
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	29	0.7597589730154571	0.021006495827512496	61604200, 61604222, 61604204, 61603632, 61604521, 61602225, 61603633, 61603634, 61603639, 61603517, 61603638, 61602076, 61602990, 61604650, 61601263, 61604197, 61603642, 61603643, 61601264, 61603640, 61603641, 61604696, 61602755, 61603008, 61601920, 61602756, 61603645, 61601506, 61602907	840	35	1339	1.3207823129251701	0.9353459830251836	0.3871197088213017	0.38111785287058386
UP_KW_BIOLOGICAL_PROCESS	KW-0132~Cell division	29	0.7597589730154571	0.021006495827512496	61604200, 61604222, 61604204, 61603632, 61604521, 61602225, 61603633, 61603634, 61603639, 61603517, 61603638, 61602076, 61602990, 61604650, 61601263, 61604197, 61603642, 61603643, 61601264, 61603640, 61603641, 61604696, 61602755, 61603008, 61601920, 61602756, 61603645, 61601506, 61602907	840	35	1339	1.3207823129251701	0.9353459830251836	0.3871197088213017	0.38111785287058386
UP_KW_BIOLOGICAL_PROCESS	KW-0444~Lipid biosynthesis	22	0.5763688760806917	0.03815306871642891	61604541, 61602681, 61603352, 61602780, 61602781, 61604144, 61603141, 61602580, 61602680, 61601883, 61601872, 61602364, 61602530, 61602970, 61602601, 61602602, 61601725, 61602966, 61601505, 61602967, 61601727, 61602280	840	26	1339	1.348809523809524	0.9933828752592181	0.5846534940078011	0.5755890987518661
UP_KW_BIOLOGICAL_PROCESS	KW-0368~Histidine biosynthesis	14	0.36678019386953103	0.04171430615780648	61601562, 61602256, 61602257, 61604125, 61602078, 61602882, 61601530, 61601526, 61601525, 61601528, 61604727, 61601527, 61604284, 61602160	840	15	1339	1.4877777777777779	0.9958993226400914	0.5846534940078011	0.5755890987518661
UP_KW_BIOLOGICAL_PROCESS	KW-0648~Protein biosynthesis	35	0.9169504846738277	0.0453219762796745	61604364, 61604363, 61603213, 61602961, 61598970, 61603035, 61602321, 61602986, 61602865, 61602800, 61604789, 61602748, 61601758, 61601899, 61601878, 61602959, 61602816, 61603271, 61598924, 61603064, 61602652, 61603665, 61604554, 61602255, 61602772, 61601941, 61601766, 61601785, 61602995, 61602775, 61602979, 61601748, 61601718, 61601716, 61604073	840	45	1339	1.239814814814815	0.9974791710517054	0.5846534940078011	0.5755890987518661
UP_KW_BIOLOGICAL_PROCESS	KW-0698~rRNA processing	13	0.34058160859313596	0.05895817592597742	61604673, 61604794, 61602345, 61602532, 61601886, 61602786, 61602225, 61602742, 61604623, 61602636, 61603648, 61601855, 61602607	840	14	1339	1.480187074829932	0.9996059499090685	0.6914186085864624	0.6806989402362847
UP_KW_BIOLOGICAL_PROCESS	KW-0066~ATP synthesis	12	0.3143830233167409	0.08261048176730942	61604497, 61601981, 61602124, 61604501, 61602301, 61604500, 61604499, 61604498, 61602304, 61602302, 61598937, 61602303	840	13	1339	1.4714285714285715	0.9999852280846214	0.8880626789985763	0.8742942653706914
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	25	0.6549646319098769	0.09883248092177818	61604541, 61602681, 61603352, 61602780, 61604144, 61602781, 61602580, 61602680, 61601872, 61602364, 61602881, 61602601, 61602602, 61602006, 61602966, 61602967, 61601727, 61602280, 61603141, 61601883, 61602530, 61602970, 61601725, 61601505, 61601845	840	32	1339	1.2453497023809523	0.9999985211866289	0.9807223106853373	0.9655173136204485
