Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR009000:Translation elongation/initiation factor/Ribosomal, beta-barrel	4	1.9801980198019802	0.009593865613870572	SMC00475, SMC01326, SMC00090	161	14	4890	8.677905944986689	0.9769320631445514	0.5568759285227805	0.555451693411469
INTERPRO	IPR027409:GroEL-like apical domain	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR027413:GroEL-like equatorial domain	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR001844:Chaperonin Cpn60	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR027410:TCP-1-like chaperonin intermediate domain	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR018370:Chaperonin Cpn60, conserved site	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	3	1.4851485148514851	0.009969645779180213	SMC00913, SM_B21566, SMA0744	161	5	4890	18.22360248447205	0.9801130813628224	0.5568759285227805	0.555451693411469
INTERPRO	IPR009001:Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal	3	1.4851485148514851	0.01463473734970974	SMC01326, SMC00090	161	6	4890	15.186335403726707	0.9968629320070201	0.7152727879670636	0.7134434457983498
INTERPRO	IPR000795:Elongation factor, GTP-binding domain	3	1.4851485148514851	0.056631274832642665	SMC01326, SMC00090	161	12	4890	7.593167701863353	0.999999999873975	1.0	1.0
INTERPRO	IPR004160:Translation elongation factor EFTu/EF1A, C-terminal	2	0.9900990099009901	0.06437555866956593	SMC01326	161	2	4890	30.372670807453414	0.9999999999949799	1.0	1.0
INTERPRO	IPR007814:Phenylacetic acid catabolic	2	0.9900990099009901	0.06437555866956593	SM_B21640, SM_B21638	161	2	4890	30.372670807453414	0.9999999999949799	1.0	1.0
INTERPRO	IPR004541:Translation elongation factor EFTu/EF1A, bacterial/organelle	2	0.9900990099009901	0.06437555866956593	SMC01326	161	2	4890	30.372670807453414	0.9999999999949799	1.0	1.0
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	18	8.91089108910891	0.07665125001056772	SM_B21344, SM_B20941, SM_B21206, SMC04282, SMC00090, SMC01190, SMC04011, SMC00590, SMC00185, SMC04454, SMC00175, SMC02433, SMC01432, SMC01288, SMC01235, SMC01326, SMA0851	161	359	4890	1.5228637173653523	0.9999999999999712	1.0	1.0
INTERPRO	IPR000160:GGDEF domain	3	1.4851485148514851	0.08455915316264757	SMC01370, SMC01464, SMC00038	161	15	4890	6.074534161490683	0.999999999999999	1.0	1.0
INTERPRO	IPR014719:Ribosomal protein L7/L12, C-terminal/adaptor protein ClpS-like	2	0.9900990099009901	0.09500156329600819	SMC01318, SMC02694	161	3	4890	20.24844720496894	1.0	1.0	1.0
INTERPRO	IPR013114:Beta-hydroxyacyl-(acyl-carrier-protein) dehydratase, FabA/FabZ	2	0.9900990099009901	0.09500156329600819	SMC04277, SMC02092	161	3	4890	20.24844720496894	1.0	1.0	1.0
